"genus"	"0_Sal"	"0_SubG"	"0_SupG"	"0_T"	"21_Sal"	"21_SubG"	"21_SupG"	"21_T"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__PAUC26f; f__PAUC26f; g__PAUC26f"	0	4.27830365260174e-06	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_13; f__Subgroup_13; g__Subgroup_13"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__c5LKS83; o__c5LKS83; f__c5LKS83; g__c5LKS83"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Geothrix"	0	0	0	1.16113675288107e-05	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__uncultured"	0	6.13802892546131e-05	3.88963123948672e-05	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7"	0	1.53450723136533e-05	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Subgroup_22; o__Subgroup_22; f__Subgroup_22; g__Subgroup_22"	0	4.44091267334886e-05	0	4.81823219060926e-06	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Subgroup_26; o__Subgroup_26; f__Subgroup_26; g__Subgroup_26"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10"	0	3.03191350977594e-05	2.80235975430433e-05	0	0	0	0	9.47418285172904e-06
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_23"	0	0	0	0	0	0	0	9.47418285172904e-06
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17"	0	0	1.41569868269238e-05	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_9; f__Subgroup_9; g__Subgroup_9"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__Actinomarinaceae; g__Candidatus_Actinomarina"	0	0.000122760578509226	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29_marine_group"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__Ilumatobacter"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces"	0.0171681034183737	0.0434094633155293	0.0481996516202926	0.0393011303571428	0.0175600767904019	0.010405948564761	0.0174656021081171	0.041508344878253
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__F0332"	5.49932035715833e-05	0.00860546220553586	0.00364395994111946	5.33290670079727e-06	5.13489115554811e-05	0.00101161165260056	0.000660695512690282	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Mobiluncus"	7.51413837764043e-05	0	0	3.18090119953458e-05	0	0	0	1.10265740434447e-05
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Alloscardovia"	0	0	0	0	0	0	0	3.570695303643e-06
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium"	0	1.48604654866609e-05	2.42499826785838e-05	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Scardovia"	5.54778295652356e-05	6.38835150397464e-05	0.000128792276304542	0	5.66297837621433e-05	8.96761708354034e-05	3.63474152031325e-05	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium"	0.000462680956084013	0.0179630105382086	0.0237031626325578	8.02931947089555e-05	0.00108245445129324	0.0134812562750187	0.0288805834637284	0.000186343122529132
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Turicella"	0	0.000109726388111958	3.91926317852244e-05	1.60248705991699e-05	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Gordonia"	0	0	0	0	0	0	0	1.24974335627505e-05
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus"	0	2.30176084704799e-05	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__hgcI_clade"	0	0	0	0	0	2.18323586744639e-05	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__Longivirga"	0	1.16238521446007e-05	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermatophilaceae; g__uncultured"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Janibacter"	0	0	0	0	0	0	0	7.141390607286e-06
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Amnibacterium"	0	0	0	0	0	0	0	8.9267382591075e-06
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Leucobacter"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia"	0.00359398972647079	0.0124155447787336	0.0161699603404543	0.00375243831490315	0.00320547853362271	0.000595527640765571	0.00183227914380152	0.00165142565256641
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Aestuariimicrobium"	0	2.93290073047559e-05	0	0	0	0	1.91358784051612e-05	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium"	0	1.06957591315044e-05	1.28756055558238e-05	1.91207863289749e-05	0	0	0	5.78879542846569e-05
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium"	0	0	1.80829490706656e-05	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionicicella"	0	2.30176084704799e-05	0	0	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Pseudopropionibacterium"	6.15914830373695e-05	0.0075791284507451	0.0107590648781761	4.34468329726393e-05	0.00016612800012318	0.00227844264545982	0.00336533518807006	3.17691980935697e-05
"d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium"	0.00222255333030362	0.000378241006651156	0.00015942447869268	0.00436630567921393	0.0014030854026365	0.000386355854926522	3.9441267191632e-05	0.00367702533203802
"d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Olsenella"	4.47322217376232e-06	0.000138026927371373	0.000120711799143238	0	0	0.000106391403893982	5.65169600193032e-05	0
"d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Cryptobacterium"	0	6.8140198458328e-06	3.46428323979769e-06	5.69739700174483e-06	0	0	0	0
"d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Slackia"	0	6.02674670186287e-06	0	0	0	6.23781676413255e-06	0	0
"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae; g__Armatimonas"	0	0	0	0	0	9.35672514619883e-06	0	0
"d__Bacteria; p__Armatimonadota; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadales; g__Chthonomonadales"	0	1.53450723136533e-05	0	0	0	0	0	0
"d__Bacteria; p__Armatimonadota; c__uncultured; o__uncultured; f__uncultured; g__uncultured"	0	2.30176084704799e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides"	3.51265344606701e-05	0.00116191906712366	0.000532922322419864	4.72937627446821e-05	5.89071255531747e-06	1.46961569549563e-05	1.13316052635306e-05	2.84225485551871e-05
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_BS11_gut_group; g__Bacteroidales_BS11_gut_group"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_Incertae_Sedis; g__Phocaeicola"	8.72278323883651e-05	0.000433953707601418	0.000212907784706169	0	9.59581008281705e-05	6.62031711740207e-05	8.63828204613738e-05	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_RF16_group; g__Bacteroidales_RF16_group"	0	0.000115280760519046	2.9538130337899e-05	9.61492235950195e-06	0	0	0	9.92395767432052e-06
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_UCG-001; g__Bacteroidales_UCG-001"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidetes_BD2-2; g__Bacteroidetes_BD2-2"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidetes_vadinHA17; g__Bacteroidetes_vadinHA17"	0	0.000211209712816084	2.63762871961744e-05	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Barnesiella"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Coprobacter"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__CAP-aah99b04; g__CAP-aah99b04"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Proteiniphilum"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__uncultured"	0	0	0	0	0	0	0	8.74890638670166e-06
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__F082; g__F082"	0	0.000579621623568494	1.73873541465041e-05	0.000103872639828559	0	0	0	1.48302258071935e-05
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__FTLpost3; g__FTLpost3"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__gir-aah93h0; g__gir-aah93h0"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__GZKB124; g__GZKB124"	0	2.30176084704799e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__M2PB4-65_termite_group; g__M2PB4-65_termite_group"	0	3.06901446273066e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Butyricimonas"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter"	4.77247237931611e-06	1.48984148789072e-05	0	4.89518544114259e-05	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__uncultured"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__[Cytophaga]_xylanolytica_group"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__uncultured"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__CAG-873"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae"	0	0.0012332096613292	8.69794657651912e-05	0.00321068937758341	5.17940152015435e-06	2.44935949249271e-05	7.42197647233458e-06	1.92166731263332e-05
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum"	0	4.49221883523183e-05	0	0.000117844598328959	0	0	0	8.74833234914594e-06
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__p-251-o5; g__p-251-o5"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__F0058"	0.00121947707778306	0.00664657487909495	0.0032927812449792	0.000134481977882023	0.00234548826890727	0.0103572801740293	0.00763962874256191	0.000326682491797797
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__Paludibacter"	0	4.62653127596814e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__uncultured"	0	0	1.67968421936676e-05	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas"	0.0397497390165213	0.0227676236087819	0.0213807687853809	0.0205930636576467	0.0764034872269253	0.0454489328948015	0.0396637635515957	0.0283276621244188
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella"	0.0203779133065066	0.00834579241209472	0.00836300756884156	0.0346719132670884	0.0191723870627126	0.0400483459258678	0.0189371424925566	0.0327771027219971
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella"	0.210422615609675	0.0892060193826009	0.0683580905385918	0.201724564283323	0.181384828704096	0.210006889065566	0.121716746957627	0.23147203531369
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae"	9.13711381417395e-06	0.000196715534383378	9.69781911200913e-05	0	1.29485038003859e-05	0.000174380800101334	0.000158842501876645	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_Ga6A1_group"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group"	0	0.000130816607697255	1.60945069447797e-05	4.75432048874415e-06	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001"	2.93136931589169e-06	0.00317914514570543	8.76577581861405e-05	5.05257794681101e-05	0	2.44935949249271e-05	1.11000111000111e-05	2.05663278357929e-05
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-003"	0	3.33919445623069e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-004"	0	4.28201340270195e-06	8.3984210968338e-06	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__uncultured"	1.24196603222902e-05	0	0	0	1.26238717414631e-05	9.05326783027785e-05	0	7.35104936229647e-06
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__BSV13"	0	0.00014972950296748	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__uncultured"	0	0.000280162617633533	0	1.03339010459205e-05	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__WCHB1-32"	0	9.97429700387463e-05	1.96601632254925e-05	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes"	0	0.000114128195103341	6.43878950757258e-05	0.00021596406357982	0	6.23781676413255e-06	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__DMER64"	0	1.53450723136533e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group"	0.00034260557803463	0.00214054022240246	0.000629608145237696	9.49261648877059e-05	0.000304874478751018	0.000352803637808496	7.85000756541373e-05	3.07998667937932e-05
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__SP3-e08"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__uncultured"	0	0.000142287062629375	1.79778660993406e-05	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rs-E47_termite_group; g__Rs-E47_termite_group"	0	0	0	0.000302349689011748	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__SB-5; g__SB-5"	0	3.06901446273066e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Macellibacteroides"	0	0.000119039358340174	2.78525670782657e-05	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides"	0	0	1.23789187014514e-05	7.12174625218104e-06	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Tannerella"	0.00266634897036705	0.00730477592269404	0.00795428157149797	0.00402005726502461	0.00335937723112778	0.02024998444771	0.0284231076796	0.00713599786724098
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__uncultured; g__uncultured"	0	0.000191889397277119	1.35649779741668e-05	2.16359556631944e-05	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Williamwhitmaniaceae; g__Blvii28_wastewater-sludge_group"	0	2.30176084704799e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidetes_VC2.1_Bac22; f__Bacteroidetes_VC2.1_Bac22; g__Bacteroidetes_VC2.1_Bac22"	0	0	0	0	0	2.49512670565302e-05	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__37-13; g__37-13"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Dinghuibacter"	0	0	0	0	0	1.87134502923977e-05	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Edaphobaculum"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium"	0	3.83626807841332e-05	2.97296723365399e-05	0	0	0.0002682261208577	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Segetibacter"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Taibaiella"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Terrimonas"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured"	0	0	0	0	0	1.87134502923977e-05	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Aureispira"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Lewinella"	0	1.41919938656859e-05	0	0	0	0	0	2.21064266540344e-05
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Phaeodactylibacter"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Portibacter"	0	0	8.49419209615425e-06	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Rubidimonas"	0	0	6.18945935072571e-06	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured"	0	6.56585929072149e-05	1.336102525742e-05	1.12281804302772e-05	0	0	4.94798431488972e-06	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__uncultured; g__uncultured"	0	4.23906953781478e-05	2.83139736538475e-06	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus"	0	0	0	0	0	2.80701754385965e-05	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fulvivirga"	0	0	8.3984210968338e-06	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Marinoscillum"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Roseivirga"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__uncultured"	0	2.13915182630087e-05	6.18945935072571e-06	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter"	0	0	0	0	0	0	0	6.24871678137525e-05
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured"	0	0	0	0	0	0	0	2.18708308728649e-05
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Arcicella"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Arsenicibacter"	0	0	2.83139736538475e-06	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Emticicia"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Fibrella"	0	0	0	0	0	0	0	8.9267382591075e-06
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Flectobacillus"	0	1.59401112327767e-05	0	0	0	0	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Pseudarcicella"	0	0	0	0	0	3.4307992202729e-05	0	0
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Spirosoma"	0	0	0	0	0	0	0	0.000108906206761112
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Crocinitomix"	0	0	0	3.70330805113414e-05	0	0	0	0
